Name,FMISID,LPNN,WMO,Lat,Lon,Elevation,Started
Alajärvi Möksy,101533,3314,2787,63.09,24.26,171,1957
Alavus Sulkavankylä,101305,2213,,62.45,23.55,124,1942
Asikkala Pulkkilanharju,101185,1434,2727,61.27,25.52,79,1991
Bay of Bothnia wavebuoy,137228,,,64.68,23.24,0,2012
Enonkoski Simanala,101446,2806,,62.06,29.04,95,1937
Enontekiö airport,101976,8208,2802,68.36,23.43,308,1999
Enontekiö Kaaresuvanto,101968,8102,,68.44,22.51,320,1953
Enontekiö Kilpisjärvi,102016,9003,2801,69.05,20.79,480,1978
Enontekiö Kilpisjärvi Saana,102017,9004,2701,69.04,20.85,1002,1991
Enontekiö Näkkälä,102019,9201,2726,68.6,23.58,374,1960
Espoo Kivenlahti,101000,334,2838,60.18,24.64,44,1989
Espoo Kytö,654910,,,60.06,24.72,0,2013
Espoo Leppävaara Läkkisepänkuja,100691,,,60.22,24.81,20,2010
Espoo Luukki,100723,,,60.31,24.68,64,1987
Espoo Länsiväylä Friisilä,106949,,,60.16,24.71,5,2019
Espoo Nuuksio,852678,344,2986,60.29,24.57,90,2014
Espoo Tapiola,874863,342,2985,60.18,24.79,6,2013
Föglö Degerby,134252,,,60.03,20.38,0,1923
Gulf of Finland wavebuoy,134221,,,59.96,25.24,0,1990
Haapavesi Mustikkamäki,101695,4402,2797,64.14,25.42,112,1951
Hailuoto Keskikylä,101776,5301,2874,65.02,24.73,6,1950
Hailuoto Kujalannurkka,104109,,,65,24.69,4,1995
Hailuoto Marjaniemi,101784,5310,2873,65.04,24.56,7,1881
Halsua Purola,101528,3309,2725,63.45,24.44,153,1958
Hamina Meltti/siirrettävä,107030,,,60.57,27.19,4,2018
Hamina Pitäjänsaari,134254,,,60.56,27.18,0,1928
Hammarland Märket,100919,14,2993,60.3,19.13,3,1977
Hanko Längden,654900,,,59.76,23.22,0,2013
Hanko Pikku Kolalahti,134253,,,59.82,22.98,0,1887
Hanko Russarö,100932,101,2982,59.77,22.95,7,1881
Hanko Tulliniemi,100946,115,2746,59.81,22.91,10,1990
Hanko Tvärminne,100953,202,2750,59.84,23.25,3,1962
Harjavalta Kaleva,103142,,,61.31,22.14,43,1978
Harjavalta Pirkkala,103143,,,61.33,22.14,40,1990
Hattula Lepaa,101151,1323,2704,61.11,24.32,87,2006
Heinola Asemantaus,101196,1506,2768,61.2,26.05,92,1908
Heinola Tiilitehtaankatu,105416,,,61.2,26.05,70,2018
Heinävesi Palokki,101589,3702,,62.57,28.59,100,1908
Helsinki Eteläsatama,105406,,,60.16,24.96,2,2018
Helsinki Harmaja,100996,330,2795,60.11,24.98,6,1989
Helsinki Kaisaniemi,100971,304,2978,60.18,24.94,3,1844
Helsinki Kaivopuisto,132310,345,2960,60.15,24.96,2,1904
Helsinki Kallio 2,100662,,,60.19,24.95,21,1999
Helsinki Kumpula,101004,339,2998,60.2,24.96,24,2005
Helsinki lighthouse,101003,337,2989,59.95,24.93,0,2003
Helsinki Länsisatama 4,106948,,,60.16,24.92,3,2019
Helsinki Malmi airfield,101009,401,,60.25,25.05,15,1937
Helsinki Mannerheimintie,100742,,,60.17,24.94,5,2005
Helsinki Mechelininkatu,106422,,,60.17,24.92,20,2016
Helsinki Mäkelänkatu,100762,,,60.2,24.95,20,2015
Helsinki Pirkkola,106950,,,60.23,24.92,20,2019
Helsinki Suomenlinna wavebuoy,103976,,,60.12,24.97,0,2016
Helsinki Vartiokylä Huivipolku,100803,,,60.22,25.1,25,2009
Helsinki Vuosaari harbour,151028,411,,60.21,25.2,2,2012
